"gen_spp","species_id","n_obis_rec","BO_sstmean_NA","BO21_tempmax_bdmean_NA","BO21_tempmax_ss_NA","BO21_tempmean_bdmean_NA","BO21_tempmean_bdmin_NA","BO21_tempmax_bdmin_NA","BO21_templtmax_bdmin_NA","BO_sstmean_mean","BO21_tempmax_bdmean_mean","BO21_tempmax_ss_mean","BO21_tempmean_bdmean_mean","BO21_tempmean_bdmin_mean","BO21_tempmax_bdmin_mean","BO21_templtmax_bdmin_mean","BO_sstmean_min","BO21_tempmax_bdmean_min","BO21_tempmax_ss_min","BO21_tempmean_bdmean_min","BO21_tempmean_bdmin_min","BO21_tempmax_bdmin_min","BO21_templtmax_bdmin_min","BO_sstmean_max","BO21_tempmax_bdmean_max","BO21_tempmax_ss_max","BO21_tempmean_bdmean_max","BO21_tempmean_bdmin_max","BO21_tempmax_bdmin_max","BO21_templtmax_bdmin_max","BO_sstmean_median","BO21_tempmax_bdmean_median","BO21_tempmax_ss_median","BO21_tempmean_bdmean_median","BO21_tempmean_bdmin_median","BO21_tempmax_bdmin_median","BO21_templtmax_bdmin_median","BO_sstmean_sd","BO21_tempmax_bdmean_sd","BO21_tempmax_ss_sd","BO21_tempmean_bdmean_sd","BO21_tempmean_bdmin_sd","BO21_tempmax_bdmin_sd","BO21_templtmax_bdmin_sd","BO_sstmean_mad","BO21_tempmax_bdmean_mad","BO21_tempmax_ss_mad","BO21_tempmean_bdmean_mad","BO21_tempmean_bdmin_mad","BO21_tempmax_bdmin_mad","BO21_templtmax_bdmin_mad","BO_sstmean_q5","BO21_tempmax_bdmean_q5","BO21_tempmax_ss_q5","BO21_tempmean_bdmean_q5","BO21_tempmean_bdmin_q5","BO21_tempmax_bdmin_q5","BO21_templtmax_bdmin_q5","BO_sstmean_q95","BO21_tempmax_bdmean_q95","BO21_tempmax_ss_q95","BO21_tempmean_bdmean_q95","BO21_tempmean_bdmin_q95","BO21_tempmax_bdmin_q95","BO21_templtmax_bdmin_q95","scientificName","hasSebensData"
"Alcyonium digitatum",125333,46188,1840,1840,1840,1840,1840,1840,1840,11.3701550437878,15.3421502233283,16.3767823033459,10.7117141171143,11.2214857306097,16.4871509585839,15.4785424920235,5.94199991226196,2.11402797698975,12.8599939346313,2.1012818813324,2.2143919467926,2.22830104827881,2.21791005134583,15.5600004196167,24.2940578460693,25.9313068389893,19.4017181396484,19.5346450805664,24.4132137298584,23.0474452972412,11.3979997634888,15.1464471817017,16.2072467803955,10.6415958404541,10.9653797149658,16.462926864624,15.4184970855713,1.06831914651854,1.88897106747403,1.69385892305629,1.0623717833831,1.10505656620029,1.94172132822824,1.74712837120048,1.50187452392578,1.94215854892731,1.96934676933289,1.19362353286743,1.2634837846756,2.29325689716339,2.01752742347717,9.84000015258789,12.3421993255615,13.8293504714966,9.28845691680908,9.837965965271,13.4728403091431,12.7046594619751,12.8090000152588,18.7468719482422,19.6162872314453,12.3270225524902,12.9322862625122,20.2531585693359,18.4269485473633,"Alcyonium digitatum",TRUE
"Anomia simplex",156737,387,2,2,2,2,2,2,2,18.4508416336852,24.7197634684575,25.6537145986185,18.2857729967538,18.5675734903905,25.3635497799167,24.2533215956254,7.50400018692017,10.303318977356,15.1399936676025,3.69944405555725,6.12572193145752,10.4252033233643,8.71135997772217,27.6660003662109,31.0902976989746,31.2081298828125,27.1684875488281,27.1748199462891,31.0817737579346,30.5458240509033,24.9640007019043,29.3150444030762,29.42063331604,24.6561851501465,24.724588394165,29.4323902130127,28.5317821502686,8.7542557702604,6.9230188680111,5.72219727401444,8.82369708732791,8.62578641235167,6.24256058953399,6.70626477773877,2.38402050590515,2.47311993370056,2.37613084602356,2.68482297935486,2.58582330093384,2.30956078033447,2.80962665290832,7.68300008773804,10.7126541137695,15.4995176315308,6.51948156356812,7.21840658187866,13.4254156112671,11.9522686004639,26.682600402832,31.0161106109619,31.0638019561768,26.5747840881348,26.5606098175049,31.0237941741943,30.4434509277344,"Anomia simplex",TRUE
"Aplidium glabrum",103647,357,50,50,50,50,50,50,50,9.50508472944552,14.4398533779557,16.954569003481,8.65117279520252,9.1531079442571,16.4223903122476,15.0208235924718,-0.469999998807907,0.214067995548248,3.16254997253418,-1.13324105739594,-0.983319997787476,1.97085297107697,0.770846009254456,22.0839996337891,28.8794212341309,28.9198455810547,22.981409072876,23.1778259277344,29.050708770752,28.0682258605957,10.1999998092651,14.3668327331543,17.3493728637695,9.5113115310669,9.9923505783081,17.4392719268799,15.9658441543579,2.64245318647856,3.78763590040179,3.46684679701481,3.19954121612936,3.09641931731132,3.8616227642127,3.94325950955243,2.23576135425568,1.47718045406342,2.90322799415588,2.99393787403107,3.17945233898163,2.33999252758026,1.61029230709076,5.94430017471313,5.33258810043335,12.5523843765259,3.38967568874359,3.53803350925446,6.73408164978028,5.18571038246155,12.4501000404358,20.533842086792,21.4540958404541,12.4873867034912,12.8934276580811,20.9086597442627,19.4734563827515,"Aplidium glabrum",TRUE
"Balanus balanus",106213,5314,461,461,461,461,461,461,461,9.83731669488976,14.3062632502157,15.0640994436638,9.48099658983685,9.83524721968171,15.1672161724484,14.0349615325504,-0.676999986171722,-0.939280986785889,0.665058016777039,-1.57054901123047,-1.5667120218277,-0.870462000370026,-1.21068298816681,25.7280006408691,23.7331409454346,27.9471988677979,16.139778137207,20.402229309082,26.6752090454102,25.487491607666,10.5319995880127,14.7856941223145,14.9173641204834,10.3222227096558,10.6404848098755,15.3046369552612,14.4322023391724,2.59317182878357,3.36631571385385,2.55950825436548,2.76665805966836,2.81561612444627,3.32218409474944,3.40855808021586,1.26762232131958,1.349039935112,1.88356156425476,1.01597327728271,0.984434432601929,1.30261112480164,1.88261848125458,4.68900012969971,6.49046421051025,12.338059425354,2.62121391296387,2.62996101379395,6.49016904830933,5.40068912506104,12.2320003509521,19.8198150634765,19.4799938201904,11.9149150848389,12.3697700500488,20.3161563873291,18.5899486541748,"Balanus balanus",TRUE
"Boltenia echinata",103814,402,20,21,21,21,21,21,21,6.07677227819426,10.8842312300925,13.4934250282177,5.31944586821096,5.69759886444906,11.936201071176,10.4163536706309,-0.187000006437302,1.08502304553986,3.16254997253418,-1.20329797267914,-1.20329797267914,2.4087541103363,0.914772987365723,18.1100006103516,23.2186603546143,26.4419460296631,16.7835121154785,18.4518756866455,27.7603569030762,26.5566139221191,7.78900003433228,11.2740793228149,13.8699932098389,6.13321876525879,6.57947492599487,13.9623508453369,12.1685619354248,4.19722431364519,4.90655569010181,3.77889454258764,4.60248218186493,4.78034697470308,5.03905432612802,5.21080736665578,4.63312429304123,5.18771718864441,3.40997886886597,6.59749990503788,6.26989079217911,6.30725992584228,6.4129332950592,0.38035000115633,2.88771796226501,8.03354358673096,-0.584603011608124,-0.510667026042938,3.82112193107605,2.69441795349121,10.9139995574951,19.3691291809082,20.1584548950195,10.8970251083374,11.0792369842529,20.5284690856934,18.8851623535156,"Boltenia echinata",TRUE
"Boltenia ovifera",103815,1383,12,12,12,12,12,12,12,5.56767028591437,9.99958542356965,15.906277227693,4.12131025407526,4.61167570141998,11.9332329721464,10.1653019304718,-0.913999974727631,-0.94003701210022,-0.635218977928162,-1.57993900775909,-1.57537305355072,-0.870462000370026,-1.21068298816681,15.9200000762939,21.4964771270752,25.4718055725098,14.409499168396,14.1935949325562,21.4964771270752,20.0847606658936,4.88600015640259,8.44758129119873,15.7099123001099,3.3311619758606,3.97178196907043,11.022707939148,9.1198902130127,2.57972902514475,5.04502072958592,3.64879904154162,3.25231025295683,3.182910080674,5.01532297519921,4.91739787081048,1.31951380205154,4.79182451877594,2.53918098907471,2.69744572820663,2.73166854186058,6.66054772539139,6.51064842939377,1.1240000128746,3.97155344486237,9.34363269805908,-0.240685001015663,0.0481005012989044,4.88952302932739,3.30089199542999,10.3879995346069,20.533842086792,20.5891027450562,10.9603471755981,10.9603471755981,20.7174968719482,19.245361328125,"Boltenia ovifera",TRUE
"Boreolithothamnion glaciale",1736213,2806,122,122,122,122,122,122,122,8.58038523309099,14.2729439085624,16.4302887802863,7.96102008590233,8.48931876349994,15.6438354782527,14.3393287821916,1.17400002479553,0.297271013259888,7.68052101135254,-0.0197999998927116,0.0382010005414486,0.781536996364594,0.434174001216888,27.0160007476807,27.841423034668,29.9360828399658,24.610559463501,24.6533966064453,27.9698638916016,27.3420753479004,9.13500022888184,14.891065120697,15.4386177062988,9.61769771575928,9.96651744842529,15.4055490493774,14.3337459564209,2.5372703226666,3.91568574513388,2.82398133393245,3.17801326096588,2.85342783723155,3.25517422466778,3.19683146391273,2.49743931541443,1.53521399259567,2.18366626939774,2.16188981838226,1.77723920688629,1.3317576210022,1.67782242279053,4.46299982070923,6.0853328704834,13.4584348678589,2.11420106887817,2.95183396339417,9.33294486999512,7.63897180557251,11.1669998168945,19.8158912658691,20.4573059082031,11.0354719161987,11.1307134628296,20.2531585693359,18.4679374694824,"Lithothamnion glaciale",TRUE
"Botrylloides violaceus",148715,3042,271,271,271,271,271,271,271,13.4479747061177,19.4342865574794,19.9819090835285,13.2454951334434,13.4479155958624,19.947184435472,18.5564389293351,4.8769998550415,0.936272025108337,12.1309499740601,0.418610006570816,1.21602702140808,1.22514402866364,1.21998000144958,29.6909999847412,31.21413230896,31.0088653564453,29.0889110565186,29.1079902648926,31.1607685089111,30.7992267608643,11.6319999694824,18.9526748657227,19.8854274749756,11.5626392364502,11.6556186676025,19.6596755981445,18.0266914367676,5.56074103682771,4.5664295076177,4.24977586866939,5.40020783250046,5.33623269925741,4.41244282899184,4.41771798832469,4.633125,4.97084627437592,4.11254035606384,4.16304973239899,4.19151613426209,5.53834470233917,5.05649998512268,7.48099994659424,14.4321365356445,14.644645690918,7.28917694091797,7.45280694961548,14.7357482910156,13.3507461547852,26.1439990997314,29.0220985412598,29.2961139678955,25.6680583953857,25.5748405456543,29.4069042205811,28.7730903625488,"Botrylloides violaceus",TRUE
"Botryllus schlosseri",103862,14371,1581,1581,1581,1581,1581,1581,1581,11.5312654231655,16.3109790364684,16.789783556672,11.2407774033073,11.6451125818272,17.1709430297806,16.1107522546639,6.53900003433228,1.19101202487946,12.3372631072998,1.18545496463776,1.21602702140808,1.22514402866364,1.21998000144958,29.6459999084473,32.2535057067871,31.2081298828125,29.6877613067627,29.3147373199463,31.5141220092773,30.8053741455078,11.6829996109009,15.8636379241943,16.5860233306885,11.146372795105,11.7218160629272,16.9380798339844,16.0898246765137,2.14811296363039,2.5859179346773,2.66502512457497,1.98630652511354,2.04686539292965,2.45094987589594,2.36074776595954,1.31135973958969,2.0185878616333,1.99557069797516,1.41470014486313,1.41465136470795,1.8102810459137,1.60781653747559,8.15200042724609,12.994176864624,13.5911960601807,8.49371218681335,8.61016178131104,14.5372896194458,13.2178621292114,14.1269998550415,20.719539642334,21.2280712127686,12.9099426269531,13.0786723613739,21.0545139312744,19.6426582336426,"Botryllus schlosseri",TRUE
"Bugula simplex",834016,104,17,17,17,17,17,17,17,12.5753447214762,17.833298519425,19.4170547573046,11.5912673019472,12.6486348941408,19.607382873009,18.3098619943378,8.03400039672852,0.406078994274139,13.476634979248,0.117871001362801,6.35232496261597,10.5693216323853,8.8880672454834,25.0069999694824,27.2009220123291,30.4974384307861,22.9148654937744,22.9187965393066,27.205961227417,25.7583465576172,12.2659997940063,18.3160343170166,19.3929347991943,12.1192502975464,12.1448240280151,20.0155048370361,18.5429344177246,3.31496552469059,4.66021773362205,3.99852904401023,3.32389445189494,2.95806238332594,3.48102755915128,3.40662393193731,1.02151159229279,3.02565345840454,3.15401737632751,1.07473003463745,1.1773620672226,2.79338074035645,2.49326825866699,9.1319001197815,11.4602705955505,13.476634979248,6.8541615486145,9.85763692855835,14.4940757751465,13.1623935699463,20.2859992980957,22.9827131271362,27.109992980957,16.139778137207,20.402229309082,26.6752090454102,25.487491607666,"Bugulina simplex",FALSE
