Site,Subsite,Depth_Category,Average_Depth
HRI,WA,Mid,16
HRI,VC,Mid,16
HRI,VS,Shallow,7
HRO,VCT,Shallow,9
HRO,VCB,Shallow,10
HRO,VDL,Mid,15
HRO,VDR,Mid,15
HRD,SW,Mid,20.5
HRD,R,Deep,22.87
HRD,DW,Deep,25.9
