site,year,depth,subsite,image
HRD,2006,Deep,DW,HRD/2006 HRD/Deep/images/P1010458.png
HRD,2006,Deep,DW,HRD/2006 HRD/Deep/images/P1010459.png
HRD,2006,Deep,DW,HRD/2006 HRD/Deep/images/P1010460.png
HRD,2006,Deep,DW,HRD/2006 HRD/Deep/images/P1010461.png
HRD,2006,Deep,DW,HRD/2006 HRD/Deep/images/P1010462.png
HRD,2006,Deep,DW,HRD/2006 HRD/Deep/images/P1010463.png
HRD,2006,Deep,DW,HRD/2006 HRD/Deep/images/P1010464.png
HRD,2006,Deep,DW,HRD/2006 HRD/Deep/images/P1010465.png
HRD,2006,Deep,DW,HRD/2006 HRD/Deep/images/P1010466.png
HRD,2006,Deep,DW,HRD/2006 HRD/Deep/images/P1010467.png
HRD,2006,Deep,R,HRD/2006 HRD/Deep/images/P1010473.png
HRD,2006,Deep,R,HRD/2006 HRD/Deep/images/P1010474.png
HRD,2006,Deep,R,HRD/2006 HRD/Deep/images/P1010475.png
HRD,2006,Deep,R,HRD/2006 HRD/Deep/images/P1010476.png
