image,site,month,day,year,subsite,quadrat,photo_id,image2,image2_ok,image2_matches,image2_remainder
HRO/2003 HRO/Shallow/HRO09xx03VCBXXX/26.png,HRO,09,NA,20NA,NA,NA,NA,HRO09xx03VCBXXX-26.png,FALSE,2,xx03VCBXXX-26.png
HRO/2003 HRO/Shallow/HRO09xx03VCBXXX/26.png,HRO,09,NA,2003,VC,NA,NA,HRO09xx03VCBXXX-26.png,FALSE,2,xx03VCBXXX-26.png
